experiment:_Bos_taurus_9913_-_Cellular_component:_cols-genes_10__rows-features_207__vals-annotazioni_7658_threshold=0.45_HUs=25
(gene oid, feature oid)
(4175377, 216597),
(4151601, 216592),
(4151601, 216593),
(4151601, 216595),
(4151601, 216597),
(4151601, 217533),
(4166384, 216592),
(4166384, 216593),
(4166384, 216595),
(4166384, 216597),
(4166384, 217533),
(4159047, 200816),
(4159047, 217533),
(4169341, 216593),
(4169341, 216597),
(4168518, 217533),
(4151805, 217533),
(4158282, 200713),
(4158282, 200816),
(4158282, 216592),
(4158282, 216593),
(4158282, 216595),
(4158282, 216597),
(4158282, 217513),
(4158282, 217533),
(4152207, 200713),
(4152207, 200714),
(4152207, 200816),
(4152207, 216592),
(4152207, 216593),
(4152207, 216595),
(4152207, 216597),
(4152207, 217513),
(4152207, 217533),
(4152207, 217552),
(4151967, 216592),
(4151967, 216593),
(4151967, 216595),
(4151967, 216597),
(4152394, 200816),
(4152394, 216593),
(4152394, 216597),
(4152394, 217533),
(4152325, 216592),
(4152325, 216593),
(4152325, 216595),
(4152325, 216597),
(4152325, 217533),
(4152284, 200816),
(4152284, 217533),
(4153112, 200713),
(4153112, 200714),
(4153112, 200816),
(4153112, 216592),
(4153112, 216593),
(4153112, 216595),
(4153112, 216597),
(4153112, 217511),
(4153112, 217513),
(4153112, 217533),
(4153112, 217552),
(4153822, 216592),
(4153822, 216593),
(4153822, 216595),
(4153822, 216597),
(4151637, 217533),
(4163668, 216592),
(4163668, 216593),
(4163668, 216595),
(4163668, 216597),
(4152899, 216592),
(4152899, 216593),
(4152899, 216595),
(4152899, 216597),
(4152595, 216593),
(4152595, 216597),
(4169565, 200816),
